Pull Distance (cm),Pull Distance (m),Range (m),Initial Velocity (m/s)
1,0.01,0.18,1.328156617
1,0.01,0.05,0.7
1,0.01,0.2,1.4
1.5,0.015,0.42,2.028792744
1.5,0.015,0.38,1.929766825
1.5,0.015,0.25,1.565247584
2,0.02,0.44,2.076535576
2,0.02,0.8,2.8
2,0.02,0.7,2.619160171
2.5,0.025,1.01,3.146108708
2.5,0.025,1.28,3.541750979
2.5,0.025,0.2,1.4
3,0.03,0.55,2.321637353
3,0.03,1.15,3.357082066
3,0.03,0.95,3.05122926
3,0.03,1.6,3.959797975
3,0.03,0.75,2.711088342
3.5,0.035,0.85,2.886173938
3.5,0.035,1.07,3.238209382
3.5,0.035,1.15,3.357082066
4,0.04,1.89,4.303719322
4,0.04,1.7,4.081666326
4,0.04,1.45,3.769615365
4.5,0.045,3.4,5.772347876
4.5,0.045,2.72,5.162944896
4.5,0.045,3.34,5.721188688
